Product Name,Product ID,Image URL,Rating,Total Reviews,Brand,Category Name,Category ID,Product URL
ASDA 24 Wheat Bisks,21055,https://ui.assets-asda.com:443/dm/21115196,4.5638,470,ASDA,Food Cupboard,1215337189632,https://groceries.asda.com/product/asda-24-wheat-bisks/21055
Weetabix Cereal 24 Pack,19191,https://ui.assets-asda.com:443/dm/5010029000016,4.75,436,Weetabix,Food Cupboard,1215337189632,https://groceries.asda.com/product/weetabix-cereal-24-pack/19191
Weetabix Crispy Minis Chocolate Chip 500g,1000383167428,https://ui.assets-asda.com:443/dm/5010029229035,4.7429,70,Weetabix,Food Cupboard,1215337189632,https://groceries.asda.com/product/weetabix-crispy-minis-chocolate-chip-500g/1000383167428
ASDA Scottish Porridge Oats 1kg,1000001094095,https://ui.assets-asda.com:443/dm/5054781624691,4.1944,180,ASDA,Food Cupboard,1215337189632,https://groceries.asda.com/product/asda-scottish-porridge-oats-1kg/1000001094095
ASDA Golden Syrup Flavour Porridge Pot,910003043725,https://ui.assets-asda.com:443/dm/5054781507857,3.5949,79,ASDA,Food Cupboard,1215337189632,https://groceries.asda.com/product/asda-golden-syrup-flavour-porridge-pot/910003043725
ASDA Meal For One Macaroni Cheese 400g,1000181363138,https://ui.assets-asda.com:443/dm/5057172263639,3.5119,84,ASDA,Chilled Food,1215660378320,https://groceries.asda.com/product/asda-meal-for-one-macaroni-cheese-400g/1000181363138
ASDA Meal For One Cottage Pie 400g,1000182764116,https://ui.assets-asda.com:443/dm/5057172262342,3.5033,153,ASDA,Chilled Food,1215660378320,https://groceries.asda.com/product/asda-meal-for-one-cottage-pie-400g/1000182764116
Kellogg's Crunchy Nut Breakfast Cereal,910002155352,https://ui.assets-asda.com:443/dm/05050083459825,4.8235,102,Kellogg's,Food Cupboard,1215337189632,https://groceries.asda.com/product/kellogg's-crunchy-nut-breakfast-cereal/910002155352
Kellogg's Crunchy Nut 460g,1000383238218,https://ui.assets-asda.com:443/dm/5059319032931  ,4.7826,92,Kellogg's,Food Cupboard,1215337189632,https://groceries.asda.com/product/kellogg's-crunchy-nut-460g/1000383238218
ASDA Meal For One Beef Stew & Dumplings 400g,1000187171188,https://ui.assets-asda.com:443/dm/5057172262984,4.1111,36,ASDA,Chilled Food,1215660378320,https://groceries.asda.com/product/asda-meal-for-one-beef-stew-&-dumplings-400g/1000187171188
Nestle Cheerios Honey,1000267584733,https://ui.assets-asda.com:443/dm/7613287195234,4.7219,302,Nestle,Food Cupboard,1215337189632,https://groceries.asda.com/product/nestle-cheerios-honey/1000267584733
ASDA Golden Syrup Flavour Porridge Sachets 8 x 36g (288g),1000244431812,https://ui.assets-asda.com:443/dm/5057172484478,4.3864,88,ASDA,Food Cupboard,1215337189632,https://groceries.asda.com/product/asda-golden-syrup-flavour-porridge-sachets-8-x-36g-(288g)/1000244431812
Nestle Cheerios Multigrain,1000267584865,https://ui.assets-asda.com:443/dm/7613287195210,4.7191,1182,Nestle,Food Cupboard,1215337189632,https://groceries.asda.com/product/nestle-cheerios-multigrain/1000267584865
BAKE by ASDA Dumpling Mix 137g,1000265255240,https://ui.assets-asda.com:443/dm/5057172566266,4.3768,69,BAKE by ASDA,Food Cupboard,1215337189632,https://groceries.asda.com/product/bake-by-asda-dumpling-mix-137g/1000265255240
ASDA Meal For One Sausages & Buttery Mash 400g,1000182764207,https://ui.assets-asda.com:443/dm/5057172262311,3.5517,58,ASDA,Chilled Food,1215660378320,https://groceries.asda.com/product/asda-meal-for-one-sausages-&-buttery-mash-400g/1000182764207
Aunt Bessie's 8 Hearty Dumplings,1000279351436,https://ui.assets-asda.com:443/dm/5000227991667,4.0377,53,Aunt Bessie's,Frozen Food,1215338621416,https://groceries.asda.com/product/aunt-bessie's-8-hearty-dumplings/1000279351436
ASDA 2 Chicken & Bacon Slices 300g,910000846464,https://ui.assets-asda.com:443/dm/5052449642711,3.0694,72,ASDA,Chilled Food,1215660378320,https://groceries.asda.com/product/asda-2-chicken-&-bacon-slices-300g/910000846464
