name,sku,image,url
Arla Biologisch karnemelk,23614,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F162036_1_377539_638690874253650515.png,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20karnemelk/23614
Arla Biologisch volle melk,23615,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F162037_1_377541_638215614168567393.png,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20volle%20melk/23615
Arla Biologische halfvolle melk,23616,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F221247_1_377542_638780808350753492.png,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologische%20halfvolle%20melk/23616
Bio+ Biologische houdbare volle melk,44838,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F210855_1_398721_638718564520572022.png,https://www.dirk.nl/boodschappen/zuivel-kaas/biologisch-zuivel-kaas/bio%2b%20biologische%20houdbare%20volle%20melk/44838
Arla Biologisch volle yoghurt,53017,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F162043_1_405231_638215614205855275.png,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20volle%20yoghurt/53017
Bio+ Biologische rijstdrink ongezoet plantaardig,61942,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F179421_1_413202_638406498514469083.png,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio%2b%20biologische%20rijstdrink%20ongezoet%20plantaardig/61942
Oatly Haverdrank bio plantaardig,63290,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F59133_1_408980_637856410935928876.png,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/oatly%20haverdrank%20bio%20plantaardig/63290
Arla Biologisch halfvolle yoghurt vanille,67617,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F162045_1_420994_638215614212952516.png,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20halfvolle%20yoghurt%20vanille/67617
Bio+ Yoghurt halfvol,71912,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F99326_1_427453_637781130697117845.png,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20yoghurt%20halfvol/71912
Bio+ Volle yoghurt,71969,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F99327_1_427454_637781130704135363.png,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20volle%20yoghurt/71969
Bio+ Houdbare melk halfvol 3 stuks,72607,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F182864_1_426872_638440311537847322.png,https://www.dirk.nl/boodschappen/zuivel-kaas/biologisch-zuivel-kaas/bio%2b%20houdbare%20melk%20halfvol%203%20stuks/72607
Bio+ Biologische amandeldrink ongezoet plantaardig,73890,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F179436_1_429620_638406498547467931.png,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio%2b%20biologische%20amandeldrink%20ongezoet%20plantaardig/73890
Bio+ Biologische goudse jonge kaas plakken 50+,75009,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F87147_1_431575_637885548888325881.png,https://www.dirk.nl/boodschappen/zuivel-kaas/kaas-gesneden/bio%2b%20biologische%20goudse%20jonge%20kaas%20plakken%2050%2b/75009
Vrije uitloop eieren wit M,62565,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F122867_1_415426_638122934549396444.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/vrije%20uitloop%20eieren%20wit%20m/62565
1 de Beste Scharreleieren L,66956,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F66902_1_419978_638320305669860811.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/1%20de%20beste%20scharreleieren%20l/66956
Scharreleieren M-L,67593,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F122870_1_419979_637909714319854175.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/scharreleieren%20m-l/67593
1 de Beste Scharreleieren m,67648,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F66898_1_419977_637801940065982129.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/1%20de%20beste%20scharreleieren%20m/67648
1 de Beste Vrije uitloop eieren M,71687,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F66886_1_419970_637933698143693897.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/1%20de%20beste%20vrije%20uitloop%20eieren%20m/71687
1 de Beste Vrije uitloop eieren L,71688,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F66889_1_419971_637933698163120537.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/1%20de%20beste%20vrije%20uitloop%20eieren%20l/71688
Bio+ Biologische eieren s/m/l,71706,https://d3r3h30p75xj6a.cloudfront.net/artikelen%2F79661_1_427222_637801929966872518.png,https://www.dirk.nl/boodschappen/zuivel-kaas/eieren/bio%2b%20biologische%20eieren%20s%2fm%2fl/71706
