unique_id|competitor_name|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|beadcrumb|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|file_name_1|upc|ingredients|servings_per_pack
23614|dirk|2025-04-17|Arla Biologisch karnemelk|Arla|Organization|1.0|liter|Boodschappen|zuivel-kaas|melk-karnemelk|Arla Biologisch karnemelk|1.55|1.55|||||||||EUR|Boodschappen> zuivel-kaas> melk-karnemelk> Arla Biologisch karnemelk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20karnemelk/23614||| Biologische karnemelk|||nl||Energie Kilojoules (kJ):149,Energie Kilocalorieën (kcal):35,Vetten (g):0.5,Koolhydraten (g):3.7,Eiwitten (g):3.3,Zout (g):0.11||https://d3r3h30p75xj6a.cloudfront.net/artikelen/162036_1_377539_638690874253650515.png?width=500&height=500&mode=crop#primaryimage|23614|Bevat koemelkeiwit en lactose.|
53017|dirk|2025-04-17|Arla Biologisch volle yoghurt|Arla|Organization|1.0|liter|Boodschappen|zuivel-kaas|yoghurt-kwark-pap|Arla Biologisch volle yoghurt|1.89|1.89|||||||||EUR|Boodschappen> zuivel-kaas> yoghurt-kwark-pap> Arla Biologisch volle yoghurt|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20volle%20yoghurt/53017||| Biologische volle yoghurt|||nl||||https://d3r3h30p75xj6a.cloudfront.net/artikelen/162043_1_405231_638215614205855275.png?width=500&height=500&mode=crop#primaryimage|53017|Bevat koemelkeiwit en lactose.|
23616|dirk|2025-04-17|Arla Biologische halfvolle melk|Arla|Organization|1.0|liter|Boodschappen|zuivel-kaas|melk-karnemelk|Arla Biologische halfvolle melk|1.63|1.63|||||||||EUR|Boodschappen> zuivel-kaas> melk-karnemelk> Arla Biologische halfvolle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologische%20halfvolle%20melk/23616||| Biologische halfvolle melk, hooggepasteuriseerd|||nl||||https://d3r3h30p75xj6a.cloudfront.net/artikelen/221247_1_377542_638780808350753492.png?width=500&height=500&mode=crop#primaryimage|23616|Bevat koeMELKeiwit en lactose.|
67617|dirk|2025-04-17|Arla Biologisch halfvolle yoghurt vanille|Arla|Organization|1.0|liter|Boodschappen|zuivel-kaas|yoghurt-kwark-pap|Arla Biologisch halfvolle yoghurt vanille|2.29|2.29|||||||||EUR|Boodschappen> zuivel-kaas> yoghurt-kwark-pap> Arla Biologisch halfvolle yoghurt vanille|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20halfvolle%20yoghurt%20vanille/67617||| Biologische halfvolle yoghurt met suiker en vanille|||nl||||https://d3r3h30p75xj6a.cloudfront.net/artikelen/162045_1_420994_638215614212952516.png?width=500&height=500&mode=crop#primaryimage|67617|92,6% biologische halfvolle YOGHURT, water, 5,7% biologische suiker, biologisch maïszetmeel, natuurlijk vanillearoma, biologisch citroensap, biologische gemalen geëxtraheerde vanillestokjes, vanille-extract|
23615|dirk|2025-04-17|Arla Biologisch volle melk|Arla|Organization|1.0|liter|Boodschappen|zuivel-kaas|melk-karnemelk|Arla Biologisch volle melk|1.89|1.89|||||||||EUR|Boodschappen> zuivel-kaas> melk-karnemelk> Arla Biologisch volle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20volle%20melk/23615||| Biologische volle melk, hooggepasteuriseerd|||nl||||https://d3r3h30p75xj6a.cloudfront.net/artikelen/162037_1_377541_638215614168567393.png?width=500&height=500&mode=crop#primaryimage|23615|Bevat koemelkeiwit en lactose.|
44838|dirk|2025-04-17|Bio+ Biologische houdbare volle melk|Bio+|Organization|1.0|liter|Boodschappen|zuivel-kaas|biologisch-zuivel-kaas|Bio+ Biologische houdbare volle melk|1.32|1.32|||||||||EUR|Boodschappen> zuivel-kaas> biologisch-zuivel-kaas> Bio+ Biologische houdbare volle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/biologisch-zuivel-kaas/bio%2b%20biologische%20houdbare%20volle%20melk/44838||| Biologische volle melk UHT|||nl||Energie Kilojoules (kJ):269,Energie Kilocalorieën (kcal):64,Vetten (g):3.6,Koolhydraten (g):4.6,Eiwitten (g):3.4,Zout (g):0.1|True|https://d3r3h30p75xj6a.cloudfront.net/artikelen/210855_1_398721_638718564520572022.png?width=500&height=500&mode=crop#primaryimage|44838|Ingrediënten :volle MELK*. *van biologische oorsprong.|
71969|dirk|2025-04-17|Bio+ Volle yoghurt|Bio+|Organization|1.0|liter|Boodschappen|zuivel-kaas|yoghurt-kwark-pap|Bio+ Volle yoghurt|1.49|1.49|||||||||EUR|Boodschappen> zuivel-kaas> yoghurt-kwark-pap> Bio+ Volle yoghurt|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20volle%20yoghurt/71969||| Biologische volle yoghurt|||nl||Energie Kilojoules (kJ):249,Energie Kilocalorieën (kcal):60,Vetten (g):3.1,Koolhydraten (g):3.9,Eiwitten (g):4,Zout (g):0.115|True|https://d3r3h30p75xj6a.cloudfront.net/artikelen/99327_1_427454_637781130704135363.png?width=500&height=500&mode=crop#primaryimage|71969|Ingrediënten :volle yoghurt (MELK)*. *van biologische oorsprong.|
61942|dirk|2025-04-17|Bio+ Biologische rijstdrink ongezoet plantaardig|Bio+|Organization|1.0|liter|Boodschappen|zuivel-kaas|lactosevrije-zuivel|Bio+ Biologische rijstdrink ongezoet plantaardig|1.75|1.75|||||||||EUR|Boodschappen> zuivel-kaas> lactosevrije-zuivel> Bio+ Biologische rijstdrink ongezoet plantaardig|https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio%2b%20biologische%20rijstdrink%20ongezoet%20plantaardig/61942||| Biologische rijstdrink, UHT.|||nl|||True|https://d3r3h30p75xj6a.cloudfront.net/artikelen/179421_1_413202_638406498514469083.png?width=500&height=500&mode=crop#primaryimage|61942|Ingrediënten :Water, 13% rijst*, zonnebloemolie*, zeezout. *van biologische oorsprong|
71912|dirk|2025-04-17|Bio+ Yoghurt halfvol|Bio+|Organization|1.0|liter|Boodschappen|zuivel-kaas|yoghurt-kwark-pap|Bio+ Yoghurt halfvol|1.59|1.59|||||||||EUR|Boodschappen> zuivel-kaas> yoghurt-kwark-pap> Bio+ Yoghurt halfvol|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20yoghurt%20halfvol/71912||| Biologische halfvolle yoghurt|||nl||Energie Kilojoules (kJ):204,Energie Kilocalorieën (kcal):48,Vetten (g):1.6,Koolhydraten (g):4,Eiwitten (g):4.5,Zout (g):0.118|True|https://d3r3h30p75xj6a.cloudfront.net/artikelen/99326_1_427453_637781130697117845.png?width=500&height=500&mode=crop#primaryimage|71912|Ingrediënten :halfvolle yoghurt (MELK)*. *van biologische oorsprong.|
63290|dirk|2025-04-17|Oatly Haverdrank bio plantaardig|Oatly|Organization|1.0|liter|Boodschappen|zuivel-kaas|lactosevrije-zuivel|Oatly Haverdrank bio plantaardig|1.79|1.79|||||||||EUR|Boodschappen> zuivel-kaas> lactosevrije-zuivel> Oatly Haverdrank bio plantaardig|https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/oatly%20haverdrank%20bio%20plantaardig/63290||| Biologische haverdrank.|||nl||Energie Kilojoules (kJ):166,Energie Kilocalorieën (kcal):39,Vetten (g):0.5,Koolhydraten (g):7.2,Eiwitten (g):1.1,Zout (g):0.1||https://d3r3h30p75xj6a.cloudfront.net/artikelen/59133_1_408980_637856410935928876.png?width=500&height=500&mode=crop#primaryimage|63290|Water, HAVER* 10%, zeezout, *Van biologische landbouw._x000D_|
