unique_id|competitor_name|extraction_date|product_name|brand|grammage_quantity|grammage_unit|breadcrumb|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|upc|ingredients|servings_per_pack|img_urls
1228415|aldi|2025-05-08|Yoghurt Griekse stijl|Lyttos|500.0|g|ALDI Supermarkten > Product > Yoghurt Griekse stijl|ALDI Supermarkten|Product|Yoghurt Griekse stijl|||1.49|1.49|None|||||||2.98|EUR|https://www.aldi.nl/product/yoghurt-griekse-stijl-1228415.html||||||nl||||1228415|||https://s7g10.scene7.com/is/image/aldinord/product_1228415_main_cms_4_nl_nl_yoghurt_griekse_stijl_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/product_1228415_main_cms_2_nl_nl_yoghurt_griekse_stijl_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/product_1228415_main_cms_3_nl_nl_yoghurt_griekse_stijl_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/product_1228415_main_cms_5_nl_nl_yoghurt_griekse_stijl_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/product_1228415_main_cms_1_nl_nl_yoghurt_griekse_stijl_cw01_2024
1227012|aldi|2025-05-08|Biologische volle melk|Mama nature|1.0|l|ALDI Supermarkten > Product > Biologische volle melk|ALDI Supermarkten|Product|Biologische volle melk|||1.29|1.29|None|||||||None|EUR|https://www.aldi.nl/product/biologische-volle-melk-1227012.html||||||nl||||1227012|||https://s7g10.scene7.com/is/image/aldinord/product_1227012_main_cms_2_nl_nl_biologische_volle_melk_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem,https://s7g10.scene7.com/is/image/aldinord/Biologisch
1227001|aldi|2025-05-08|Volle kwark|Milsani|1.0|kg|ALDI Supermarkten > Product > Volle kwark|ALDI Supermarkten|Product|Volle kwark|||2.49|2.49|None|||||||2.49|EUR|https://www.aldi.nl/product/volle-kwark-1227001.html||||||nl||||1227001|||https://s7g10.scene7.com/is/image/aldinord/product_1227001_main_cms_1_nl_nl_volle_kwark_cw01_2024
1226891|aldi|2025-05-08|Magere perzikyoghurt|Milsani|1.0|l|ALDI Supermarkten > Product > Magere perzikyoghurt|ALDI Supermarkten|Product|Magere perzikyoghurt|||2.5|2.5|3.38|2.5|2025-05-12|2025-05-19|discount|26.04%|2 VOOR|2.5|EUR|https://www.aldi.nl/product/magere-perzikyoghurt-1226891.html||||||nl||||1226891|||https://s7g10.scene7.com/is/image/aldinord/product_1226891_main_cms_3_nl_nl_magere_perzikyoghurt_cw01_2024
1226881|aldi|2025-05-08|Magere aardbeienyoghurt|Milsani|1.0|l|ALDI Supermarkten > Product > Magere aardbeienyoghurt|ALDI Supermarkten|Product|Magere aardbeienyoghurt|||2.5|2.5|3.38|2.5|2025-05-12|2025-05-19|discount|26.04%|2 VOOR|2.5|EUR|https://www.aldi.nl/product/magere-aardbeienyoghurt-1226881.html||||||nl||||1226881|||https://s7g10.scene7.com/is/image/aldinord/product_1226881_main_cms_2_nl_nl_magere_aardbeienyoghurt_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem,https://s7g10.scene7.com/is/image/aldinord/Planetproof
1226486|aldi|2025-05-08|Drinkyoghurt framboos|Optimel|1.0|l|ALDI Supermarkten > Product > Drinkyoghurt framboos|ALDI Supermarkten|Product|Drinkyoghurt framboos|||None|None|None|||||||None|EUR|https://www.aldi.nl/product/drinkyoghurt-framboos-1226486.html|||1 l|||nl||||1226486|||https://s7g10.scene7.com/is/image/aldinord/Planetproof,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem,https://s7g10.scene7.com/is/image/aldinord/product_1226486_main_cms_1_nl_nl_drinkyoghurt_framboos_cw01_2024
1226430|aldi|2025-05-08|Drinkyoghurt mango-passievrucht|Optimel|1.0|l|ALDI Supermarkten > Product > Drinkyoghurt mango-passievrucht|ALDI Supermarkten|Product|Drinkyoghurt mango-passievrucht|||None|None|None|||||||None|EUR|https://www.aldi.nl/product/drinkyoghurt-mango-passievrucht-1226430.html|||1 l|||nl||||1226430|||https://s7g10.scene7.com/is/image/aldinord/Planetproof,https://s7g10.scene7.com/is/image/aldinord/product_1226430_main_cms_1_nl_nl_drinkyoghurt_mango_passievrucht_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/Van_NL_bodem
1225968|aldi|2025-05-08|Magere kwark|Milsani|500.0|g|ALDI Supermarkten > Product > Magere kwark|ALDI Supermarkten|Product|Magere kwark|||1.49|1.49|None|||||||2.98|EUR|https://www.aldi.nl/product/magere-kwark--1225968.html|||Keuze uit perzik, aardbei en citroen. Minder dan 0,5% vet en zonder toegevoegde suikers.|||nl||||1225968|||https://s7g10.scene7.com/is/image/aldinord/variant_1225968_2_main_cms_2_nl_nl_magere_kwark_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/variant_1225968_6_main_cms_9_nl_nl_magere_kwark_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/variant_1225968_4_main_cms_6_nl_nl_magere_kwark_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/variant_1225968_1_main_cms_4_nl_nl_magere_kwark_cw01_2024,https://s7g10.scene7.com/is/image/aldinord/product_1225968_main_cms_10_nl_nl_magere_kwark_cw01_2024
1225860|aldi|2025-05-08|Vruchtenkwark|Milsani|6100.0|xg|ALDI Supermarkten > Product > Vruchtenkwark|ALDI Supermarkten|Product|Vruchtenkwark|||2.25|2.25|None|||||||22.5|EUR|https://www.aldi.nl/product/vruchtenkwark-1225860.html|||In de smaken banaan (2x), abrikoos (2x) en aardbei (2x).|||nl||||1225860|||https://s7g10.scene7.com/is/image/aldinord/product_1225860_main_cms_3_nl_nl_vruchtenkwark_cw01_2024
1225758|aldi|2025-05-08|Griekse stijl yoghurt 10% vet|Lyttos|1.0|kg|ALDI Supermarkten > Product > Griekse stijl yoghurt 10% vet|ALDI Supermarkten|Product|Griekse stijl yoghurt 10% vet|||2.29|2.29|None|||||||2.29|EUR|https://www.aldi.nl/product/griekse-stijl-yoghurt-10%-vet-1225758.html|||Lekker stevig van structuur met een milde zachte smaak Traditioneel wordt Griekse stijl yoghurt geserveerd met honing en walnoten, maar naturel of met muesli en verse vruchten is deze yoghurt natuurlijk net zo lekker 10% vet|||nl||||1225758|||https://s7g10.scene7.com/is/image/aldinord/variant_1225758_1_main_cms_2_nl_nl_griekse_stijl_yoghurt_10_vet_cw01_2024
1225757|aldi|2025-05-08|Griekse stijl yoghurt 2% vet|Lyttos|1.0|kg|ALDI Supermarkten > Product > Griekse stijl yoghurt 2% vet|ALDI Supermarkten|Product|Griekse stijl yoghurt 2% vet|||2.19|2.19|None|1.59|2025-05-12|2025-05-19|discount|||2.19|EUR|https://www.aldi.nl/product/griekse-stijl-yoghurt-2%-vet-1225757.html|||Griekse stijl yoghurt wordt geserveerd met honing en walnoten, maar naturel of met muesli en verse vruchten is deze yoghurt natuurlijk net zo lekker.|||nl||||1225757|||https://s7g10.scene7.com/is/image/aldinord/product_1225757_main_cms_5_nl_nl_griekse_stijl_yoghurt_2_vet_cw01_2024
