unique_id|competitor_name|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|beadcrumb|pdp_url|Fat %|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|file_name_1|upc|ingredients|servings_per_pack
526386|albert_heijn|None|Lay's Paprika flavour value pack|Lay's|None|300.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.49|2.49|||||None|||8.3 per KG|€||https://www.ah.nl/producten/product/wi526386/paprika-flavour-value-pack|27|None|Aardappelchips met paprikasmaak Geweldige smaak, minder zout** **Minstens 25% minder zout dan gewone aardappelchips. Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|B|Non-Organic|None|None|Ingrediënten: aardappelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende hoeveelheden), paprikasmaak [suiker, zout, paprikapoeder, kaliumchloride, uienpoeder, aroma's, fructose, knoflookpoeder, kleurstof (paprika-extract), voedingszuur (citroenzuur), gerookte paprikapoeder], antioxidanten (extracten van rozemarijn, ascorbinezuur, tocoferolrijk extract, citroenzuur).|100 Gram
553924|albert_heijn|None|Croky Paprika|Croky|None|300.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.59|2.59|||||None|||8.63 per KG|€||https://www.ah.nl/producten/product/wi553924/paprika|29|None|Aardappelchips met paprikasmaak. Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|D|Non-Organic|None|None|Ingrediënten: aardappelen, zonnebloemolie, paprikakruiding (zout, specerijen (0,8% paprika), suiker, dextrose, maïsbloem, smaakversterker (mononatriumglutamaat), kaliumchloride, aroma's, zuurteregelaar (natriumacetaten), voedingszuur (citroenzuur, appelzuur), zoetstof (stevioglycosiden), rookaroma).|100 Gram
442596|albert_heijn|None|Lay's Bugles nacho cheese|Lay's|None|160.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.65|2.65|||||None|||16.56 per KG|€||https://www.ah.nl/producten/product/wi442596/bugles-nacho-cheese|31|None|Maïszoutje met kaassmaak||Koel en droog bewaren.|None|None|D|Non-Organic|None|None|Ingrediënten: maïs, zonnebloemolie, kaassmaak [weipermeaat (van MELK), weipoeder (van MELK), natuurlijk aroma (zwarte peper, rozemarijn, kurkuma, room en kaas (van MELK), uien-, tomaat-, KAASPOEDER, knoflookpoeder, zuurteregelaars (citroenzuur, melkzuur), kleurstof (paprika-extract)], zout, suiker. Kan soja en tarwe (gluten) bevatten.|100 Gram
128264|albert_heijn|None|Croky Bolognese|Croky|None|200.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.29|2.29|||||None|||11.45 per KG|€||https://www.ah.nl/producten/product/wi128264/bolognese|29|None|Aardappelchips met bolognesesmaak. Verpakt onder beschermende atmosfeer.||Koel en droog bewaren|None|None|D|Non-Organic|None|None|Ingrediënten: 64% aardappelen (EU), 29% zonnebloemolie, bolognesekruiding (maïsbloem, zout, aroma, gehydrolyseerd SOJA-eitwit, dextrose, smaakversterker (mononatriumglutamaat), specerijen (waarvan 0,1% ui), 0,2% tomatenpoeder, zuurteregelaar (citroenzuur)).|100 Gram
167332|albert_heijn|None|Lay's Sensations Mexican peppers & cream|Lay's|None|150.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.49|2.49||2.49|||None|||16.6 per KG|€||https://www.ah.nl/producten/product/wi167332/sensations-mexican-peppers-en-cream|25|None|Gemarineerde aardappelchips met hete peper- en roomsmaak Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|C|Non-Organic|None|None|Ingrediënten: aardappelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende hoeveelheden), Mexicaanse pepers en roomsmaak [suiker, aroma's (bevat MELK), zure room poeder (van MELK), zout, weipoeder (van MELK), specerijen (bevat chillipoeder, paprikapoeder), voedingszuur (citroenzuur), kleurstof (paprika extract)], verstevigingsmiddel (calciumlactaat), antioxidanten (extracten van rozemarijn, ascorbinezuur, tocoferolrijk extract, citroenzuur).|100 Gram
448461|albert_heijn|None|AH Chips bolognese|AH|None|250.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|1.35|1.35|||||None|||5.4 per KG|€||https://www.ah.nl/producten/product/wi448461/chips-bolognese|29|None|Aardappelchips met bolognesesmaak||Ten minste houdbaar tot en met: zie achterzijde. Vaak goed na deze datum. Kijk, ruik en proef. Donker en droog bewaren. De verpakking goed sluiten na gebruik.|None|None|D|Non-Organic|None|None|"Ingrediënten: 64% aardappel, 29% zonnebloemolie, maïsmeel, zout, aroma's, dextrose, gehydrolyseerd soja-eiwit, specerijen (o.a. 0,1% ui), 0,3% tomatenpoeder, rookaroma, voedingszuur (appelzuur [E296], citroenzuur [E330]).
Waarvan toegevoegde suikers 0.5g per 100 gram en waarvan toegevoegd zout 1.20g per 100 gram"|100 Gram
517004|albert_heijn|None|Cheetos Nibb-it sticks|Cheetos|None|150.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.79|2.79|||||None|||18.6 per KG|€||https://www.ah.nl/producten/product/wi517004/nibb-it-sticks|22|None|Aardappelzoutje met hartige smaak||Koel en droog bewaren.|None|None|D|Non-Organic|None|None|Ingrediënten: aardappelpoeder, aardappelzetmeel, zonnebloemolie, rijstebloem, hartige smaak [lactose (van MELK), weipoeder (van MELK), suiker, smaakversterkers (mononatriumglutamaat, dinatriumguanylaat, dinatriuminosinaat), aroma's (bevat KAASPOEDER en boter (van MELK)), voedingszuur (citroenzuur), kaliumchloride], zout, emulgator (lecithine (bevat SOJA, MELKEIWIT)), kleurstoffen (curcumine, karmijn, annatto bixin, paprika-extract), specerijen.|100 Gram
574348|albert_heijn|None|Lay's Max red sweet chili|Lay's|None|185.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.49|2.49|||||None|||13.46 per KG|€||https://www.ah.nl/producten/product/wi574348/max-red-sweet-chili|31|None|Geribbelde aardappelchips met zoete rode chilismaak Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|C|Non-Organic|None|None|Ingrediënten: aardappelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende hoeveelheden), zoete rode chilismaak [maltodextrine, suiker, fructose, aroma, zout, smaakversterkers (mononatriumglutamaat, dinatrium-5'-ribonucleotiden), kaliumchloride, uienpoeder, knoflookpoeder, johannesbroodpitmeel, gedroogde tomaat, kruiden, rode chilipeper, melasse poeder, kleurstof (paprika-extract)], antioxidanten (extracten van rozemarijn, ascorbinezuur, tocoferolrijk extract, citroenzuur). |100 Gram
553933|albert_heijn|None|Lay's Max roasted onion & sour cream|Lay's|None|185.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|2.39|2.39|||||None|||12.92 per KG|€||https://www.ah.nl/producten/product/wi553933/max-roasted-onion-en-sour-cream|31|None|Geribbelde aardappelchips met geroosterde ui- en zure roomsmaak Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|C|Non-Organic|None|None|Ingrediënten: aardappelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende hoeveelheden), geroosterde ui & zure roomsmaak [suiker, ui, zout, aroma (bevat LACTOSE, en natriumcaseïnaat (bevat MELK)), kaliumchloride, peterselie, specerijen], antioxidanten (rozemarijnextract, ascorbinezuur, tocoferolrijk extract, citroenzuur).|100 Gram
574572|albert_heijn|None|Lay's Naturel|Lay's|None|100.0|Gram|Home|Producten|Borrel, chips, snacks|Chips|1.49|1.49|||||None|||14.9 per KG|€||https://www.ah.nl/producten/product/wi574572/naturel|29|None|Gezouten aardappelchips Geweldige smaak, minder zout** **25% minder zout dan gewone aardappelchips Verpakt onder beschermende atmosfeer.||Koel en droog bewaren.|None|None|C|Non-Organic|None|None|Ingrediënten: aardappelen, plantaardige oliën (zonnebloem, koolzaad, in wisselende hoeveelheden), zout, antioxidanten (rozemarijnextract, ascorbinezuur, tocoferolrijk extract, citroenzuur).|100 Gram
