unique_id|competitor_name|extraction_date|product_name|brand|regular_price|selling_price|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|promotion_description|currency|breadcrumb|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|pdp_url|variants|product_description|country_of_origin|color|model_number|size|rating|review|competitor_product_key|upc|Gender|clothing_type|variant_color|material|material_composition|Clothing_Length|Fastener_Closure_Type|Rise_Pants_capris_leg_wear|clothing_fit|Body_fit|features|clothing_weight|stretch|care_instructions|image_url_1|image_url_2|image_url_3
90534178|target|2025-06-03|Wrangler Men's ATG Straight Cargo Pants|Wrangler|34.99|34.99||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Bottoms|target|Clothing, Shoes & Accessories|Men’s Clothing|Bottoms||https://www.target.com/p/wrangler-men-39-s-atg-straight-cargo-pants/-/A-90534178||The Wrangler® Outdoor ATG Range Cargo Pant combines the best of Wrangler style with rugged functionality. This regular fit pant features flap cargo pockets, a zippered back pocket, and a reinforced kick plate for enhanced durability, with a gusseted crotch and articulated knees for maximum mobility. With added moisture-wicking properties and UPF 40+ protection, this pant will make sure you stay comfortable and protected in even the toughest environments.|US||90534178|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-bottoms/wrangler/bottoms.html|4.32|64|90534178|90534178|Mens|Pants|None|74% Cotton, 24% Nylon, 2% Elastane|74% Cotton, 24% Nylon, 2% Elastane|Full|None|None|Straight Leg with a Regular Fit|None|Cargo Pocket|Heavyweight Fabric|Stretch|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_71617d2c-53e5-4abf-a4ce-17c48d724d2e|https://target.scene7.com/is/image/Target/GUEST_e96bdf09-144c-43aa-b69c-6adc0f411d5d|https://target.scene7.com/is/image/Target/GUEST_edce8dc0-2fa5-4142-8924-017a938fde6b
90534181|target|2025-06-03|Wrangler Men's ATG Relaxed Cargo Pants|Wrangler|29.99|29.99||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Bottoms|target|Clothing, Shoes & Accessories|Men’s Clothing|Bottoms||https://www.target.com/p/wrangler-men-39-s-atg-relaxed-cargo-pants/-/A-90534181||With the Wrangler® Outdoor ATG Aspen Cargo Pant, you can enjoy comfort and versatility no matter where your journey takes you. This relaxed-fit cargo pant features an elastic waistband and comes equipped with a drop-in cell phone pocket and secure cargo pockets to keep your essentials safe. They’re crafted from quality cotton with our two-way stretch technology to let them move with you anywhere you take them, from hiking trails to backyard cookouts.|US||90534181|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-bottoms/wrangler/bottoms.html|4.55|180|90534181|90534181|Mens|Pants|None|98% Cotton, 2% Spandex|98% Cotton, 2% Spandex|Full|None|None|Relaxed Leg with a Relaxed Fit|None|Cargo Pocket|Heavyweight Fabric|Stretch|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_c1e07c96-6cfe-4058-b284-b80c78206547|https://target.scene7.com/is/image/Target/GUEST_0bfe65aa-6d84-47fa-97e3-2da3121b75e3|https://target.scene7.com/is/image/Target/GUEST_32a594f1-19d4-4117-9adc-ef7e6690c42e
93299350|target|2025-06-03|Men's Vintage Relaxed Straight Fit Utility Pants - Goodfellow & Co™|Goodfellow & Co|40.00|40.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Bottoms|target|Clothing, Shoes & Accessories|Men’s Clothing|Bottoms||https://www.target.com/p/men-s-vintage-relaxed-straight-fit-utility-pants-goodfellow-co/-/A-93299350||Enhance your outerwear collection with these Vintage Relaxed Straight Fit Utility Pants from Goodfellow & Co™. Made from 100% cotton, these mid-rise utility pants provide all-day comfort. Featuring a fly button and zipper for a secure fit, these full-length pants are designed with relaxed legs for breathability. Plus, they have two front and back pockets that offer ample space to stash your everyday essentials. Goodfellow & Co™: Feel good in what you wear, anywhere.|US||93299350|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-clothing/all-in-motion-goodfellow-original-use/mens-clothing.html|4.5|4|93299350|93299350|Mens|Pants|None|100% Cotton|100% Cotton|Full|None|None|Relaxed Leg with a Relaxed Fit|None|Coin Pocket, Back Pocket, Front Pocket|Midweight Fabric|No Stretch|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_bc128a9d-8eac-457b-be04-90e4c77e9310|https://target.scene7.com/is/image/Target/GUEST_0d83ef47-c7d1-41d1-b4a1-33d4aba6d891|https://target.scene7.com/is/image/Target/GUEST_52ff61a7-ace1-4784-a701-7d7154b0d313
88761468|target|2025-06-03|Men's Hooded Zip-Up Sweatshirt - Goodfellow & Co™|Goodfellow & Co|23.00|23.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Tops > Sweatshirts & Hoodies|target|Clothing, Shoes & Accessories|Men’s Clothing|Tops|Sweatshirts & Hoodies|https://www.target.com/p/men-39-s-hooded-sweatshirt-goodfellow-38-co-8482/-/A-88761468||Update your clothing for coolers days with this Hooded Collared Sweatshirt from Goodfellow & Co™. This long-sleeve sweatshirt fashioned in a regular fit features a hood with drawstring and a zip-up front for easy layering. The midweight cotton-blend material offers comfy wear, and the front kangaroo pocket comes in handy for keeping your hands warm or stashing small essentials. Layer this sweatshirt over a tee with joggers, jeans or shorts for effortless laid-back styling. Goodfellow & Co™: Where style & fit are always in good company..|US||88761468|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-clothing/all-in-motion-goodfellow-original-use/mens-clothing.html|4.35|306|88761468|88761468|Mens|Sweatshirts|None|55% Cotton, 45% Recycled Polyester|55% Cotton, 45% Recycled Polyester|None|None|None|Regular Fit|None|Drawstring Hood|Midweight Fabric|None|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_f7aeda99-1f1c-42d9-9783-e9fdeced0a1b|https://target.scene7.com/is/image/Target/GUEST_8cd9df82-b3f8-418f-a1c4-2b9a0ac91e6f|https://target.scene7.com/is/image/Target/GUEST_f7d28830-0ffb-4d98-971b-a937bfa2ea84
88552432|target|2025-06-03|Men's Hooded Sweatshirt - Goodfellow & Co™|Goodfellow & Co|23.00|23.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Tops > Sweatshirts & Hoodies|target|Clothing, Shoes & Accessories|Men’s Clothing|Tops|Sweatshirts & Hoodies|https://www.target.com/p/men-39-s-regular-fit-hooded-sweatshirt-goodfellow-38-co-8482/-/A-88552432||Upgrade your cool-weather closet with this Regular Fit Hooded Collared Sweatshirt from Goodfellow & Co™. The long-sleeve hoodie is made from midweight cotton-blend fabric to keep you in cozy comfort, and it's designed with ribbed cuffs and a ribbed hem for a snug fit. It features an adjustable drawstring neckline, along with a kangaroo pocket for functional flair. Just slip it on with pants of your choice for effortless styling.Goodfellow & Co™: Where style & fit are always in good company.|US||88552432|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-clothing/all-in-motion-goodfellow-original-use/mens-clothing.html|4.7|275|88552432|88552432|Mens|Sweatshirts|None|55% Cotton, 45% Recycled Polyester|55% Cotton, 45% Recycled Polyester|None|None|None|Standard Fit|None|Drawstring Hood|Midweight Fabric|None|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_96812976-144a-4af9-b8d3-65714f9b8305|https://target.scene7.com/is/image/Target/GUEST_7dc60bac-4c21-484f-ae40-f8e3e0a958a0|https://target.scene7.com/is/image/Target/GUEST_a06adf05-7b72-4a8c-9904-98dc55aa0a31
54264873|target|2025-06-03|Men's Short Sleeve 4pk Crewneck T-Shirt - Goodfellow & Co™|Goodfellow & Co|20.00|20.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Tops|target|Clothing, Shoes & Accessories|Men’s Clothing|Tops||https://www.target.com/p/men-s-short-sleeve-4pk-crewneck-t-shirt-goodfellow-co/-/A-54264873||From a relaxed setting at home to a busy day at work, complete your everyday outfit with this Pack of 4 Short-Sleeve Crew-Neck T-Shirts from Goodfellow & Co™. Made from soft and lightweight 100% cotton fabric, each of these short-sleeve white tees makes a great stand-alone option for casual-cool looks, while also making the perfect base layer underneath your button downs or sweaters when it gets cold. No matter how you wear these white crewneck T-shirts, you'll love the versatility they bring to your everyday wardrobe.|US||54264873|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-clothing/all-in-motion-goodfellow-original-use/mens-clothing.html|4.69|4228|54264873|54264873|Mens|Shirts|None|100% Cotton|100% Cotton|None|None|None|Regular Fit|None|No Pocket|Lightweight Fabric|None|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_150d8a40-703e-49e7-a123-5024d1553179|None|None
90534927|target|2025-06-03|"Wrangler Men's ATG Flex 10"" Cargo Shorts"|Wrangler|29.99|29.99||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Bottoms|target|Clothing, Shoes & Accessories|Men’s Clothing|Bottoms||https://www.target.com/p/wrangler-men-39-s-atg-flex-10-34-cargo-shorts/-/A-90534927||Conquer the great outdoors in the Wrangler® ATG Flex Cargo Short. This relaxed-fit short features a 10” inseam and are crafted from a comfortable cotton blend with a hint of stretch. The double cargo pockets and slash front pockets bring plenty of storage, while UPF40+ protection and moisture-wicking add all-day comfort. Equipped with a constructed waistband and 2-way stretch, this cargo short is the perfect fit for any outdoorsman.|US||90534927|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-bottoms/wrangler/bottoms.html|4.69|60|90534927|90534927|Mens|Shorts|None|74% Cotton, 24% Recycled Nylon, 2% Spandex|74% Cotton, 24% Recycled Nylon, 2% Spandex|At Knee|None|None|Relaxed Fit|None|Cargo Pocket|Heavyweight Fabric|Stretch|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_33607e2f-cbe6-4bdb-9cbb-8b06df22a5e6|https://target.scene7.com/is/image/Target/GUEST_0551271a-0e25-47e3-8ecc-10db42098063|https://target.scene7.com/is/image/Target/GUEST_2e6dd03b-93d2-4697-8ce7-1f72cd93e5a3
90534123|target|2025-06-03|Wrangler Men's ATG Synthetic Straight Utility Pants|Wrangler|34.99|34.99||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Bottoms|target|Clothing, Shoes & Accessories|Men’s Clothing|Bottoms||https://www.target.com/p/wrangler-men-39-s-atg-synthetic-straight-utility-pants/-/A-90534123||With the Wrangler Men's ATG Synthetic Straight Utility Pants you can step out for outdoor adventures in comfort and style. Crafted from a blend of nylon and stretchy spandex, these pants offer flexibility for all your activities. The fly button and zipper closure ensure a secure fit, while the zippered pocket adds functionality for storing essentials like keys or a wallet. Whether you're hiking, camping, or simply enjoying a day out in nature, these midweight pants are up for the challenge.|US||90534123|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-bottoms/wrangler/bottoms.html|4.42|117|90534123|90534123|Mens|Pants|None|96% Nylon, 4% Spandex|96% Nylon, 4% Spandex|Full|None|None|Straight Leg with a Regular Fit|None|Zippered Pocket|Midweight Fabric|Stretch|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_ad03cb94-f8a7-4513-bb55-5cb245b3e3aa|https://target.scene7.com/is/image/Target/GUEST_b522ebe1-6f35-4a6e-81d1-ec958b6a0812|https://target.scene7.com/is/image/Target/GUEST_7f1a2fda-9b29-4cf2-8581-6541d42eb2be
82983369|target|2025-06-03|Hanes Red Label Men's Crewneck Dyed T-Shirt 6pk - Black/Gray/Blue|Hanes|22.00|22.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Tops|target|Clothing, Shoes & Accessories|Men’s Clothing|Tops||https://www.target.com/p/hanes-red-label-men-s-crewneck-dyed-t-shirt-6pk-black-gray-blue/-/A-82983369||This Hanes® men’s t-shirt multi-pack takes a basic you thought you knew and makes it even better. You'll love the lay-flat crewneck collar, tag-free design, and extra-long length that ensures these essential men’s undershirts stay tucked in. Made with Cool Comfort® moisture-wicking fabric, you’ll stay cool and comfortable no matter how long your day is. Stock up on these cotton tees in a convenient multi-pack and start wearing a better-than-basic undershirt.|US||82983369|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-underwear/hanes/hanes-mens-underwear.html|4.29|806|82983369|82983369|Mens|Shirts|None|100% Cotton|100% Cotton|None|None|None|Classic Fit|None|No Pocket, Tagless, Breathable Fabric, Moisture Wicking Fabric|Lightweight Fabric|None|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_e6b7da64-014e-4bfd-8e7a-b706f531b06a|https://target.scene7.com/is/image/Target/GUEST_e3517e5e-f1a1-4f9f-ab40-8ffbd89437e9|https://target.scene7.com/is/image/Target/GUEST_f25f4d21-fe29-4b12-92e6-66cdf69098fe
94769858|target|2025-06-03|Men's Every Wear Short Sleeve T-Shirt - Goodfellow & Co™|Goodfellow & Co|6.008.00|6.008.00||||||dollar|target > Clothing, Shoes & Accessories > Men’s Clothing > Tops|target|Clothing, Shoes & Accessories|Men’s Clothing|Tops||https://www.target.com/p/men-s-every-wear-short-sleeve-t-shirt-goodfellow-co/-/A-94769858|||US||94769858|https://digitalcontent.target.com/itemcontent/sizecharts/htmlfragments/men-clothing/all-in-motion-goodfellow-original-use/mens-clothing.html|4.73|4618|94769858|94769858|Mens|Shirts|None|60% Cotton, 40% Recycled Polyester|60% Cotton, 40% Recycled Polyester|None|None|None|Standard Fit|None|No Pocket|Midweight Fabric|None|Machine Wash, Tumble Dry|https://target.scene7.com/is/image/Target/GUEST_c552ae27-01ab-4a0d-b7a8-20eb30e459d3|https://target.scene7.com/is/image/Target/GUEST_e29f5a4f-57c0-40d5-9cf1-df06716f24fc|https://target.scene7.com/is/image/Target/GUEST_7f3735e6-8c5d-4f46-a89f-a0dc9e50c48a
