website|url|product_sku|product_name|brand|original_price|sale_price|category|total_number_of_reviews|1_star|2_star|3_star|4_star|5_star|review_title|review_text|date_of_purchase|place_of_purchase
Nora Gardner|https://noragardner.com/collections/new-collection/products/sarah-dress-navy|7353469927518|sarah-dress-navy|Nora Gardner|$348|$348|Women’s Workwear Just In|1|0|0|0|0|1||The perfect chic work dress - flattering, professional, comfortable. If you’re a fan of Nora’s Sleeved Evelyn dress, this is a must ❤️|2025-04-21|
Nora Gardner|https://noragardner.com/collections/new-collection/products/evelyn-dress-light-grey-wool|4415443271774|evelyn-dress-light-grey-wool|Nora Gardner|$348|$348|Women’s Workwear Just In|3|0|0|1|0|2||I love this dress! the fit is perfect, I use it to go to the office and for special occasions too, I highly recommend it.|2025-04-21|
Nora Gardner|https://noragardner.com/collections/new-collection/products/evelyn-dress-light-grey-wool|4415443271774|evelyn-dress-light-grey-wool|Nora Gardner|$348|$348|Women’s Workwear Just In|3|0|0|1|0|2||Perfect work dress! Great in both summer and fall.|2025-04-09|
Nora Gardner|https://noragardner.com/collections/new-collection/products/evelyn-dress-light-grey-wool|4415443271774|evelyn-dress-light-grey-wool|Nora Gardner|$348|$348|Women’s Workwear Just In|3|0|0|1|0|2|Way too big on top|Way too big on top for my chest and the zipper in front was a surprise. The collar is great . The material is great. I wish it fit up top. It is a great style.|2021-03-04|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-navy|333511819305|alanna-blazer-navy|Nora Gardner|$368|$368|Women’s Workwear Just In|3|0|0|0|0|3|Easily my favorite blazer. Have|Easily my favorite blazer. Have it in 3 colors. Wrinkle free stretch crepe. Paid with Audrey pants or Chelsea skirt to make a suit.|2020-07-30|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-navy|333511819305|alanna-blazer-navy|Nora Gardner|$368|$368|Women’s Workwear Just In|3|0|0|0|0|3|Love it! Fits great!|Love it! Fits great!|2019-06-28|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-navy|333511819305|alanna-blazer-navy|Nora Gardner|$368|$368|Women’s Workwear Just In|3|0|0|0|0|3|Nora Gardner Alanna Blazer - Navy|Great blazer! I have this blazer in black as well and it looks wonderful with the Alyssa dress or the Chelsea skirt. I have received a lot of compliments. It fits wonderfully and does not wrinkle when I travel for work.|2018-01-12|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-black|6771751237|alanna-blazer-black|Nora Gardner|$368|$368|Women’s Workwear Just In|13|0|0|0|0|13||"Perfect fit. 
Stylish 
Lush
Practical 
Love it.  
I’d like one in hot pink! 
Xoxo"|2025-06-05|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-black|6771751237|alanna-blazer-black|Nora Gardner|$368|$368|Women’s Workwear Just In|13|0|0|0|0|13|Fantastic blazer!|I have seven of the Alanna blazers total in navy and black. I travel for work and these do not wrinkle and always look good. They look great with the Alyssa dress and the Chelsea skirt. Most of my work suits are by Nora Gardner because I love the styles and how wrinkle free they are.|2023-03-25|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-black|6771751237|alanna-blazer-black|Nora Gardner|$368|$368|Women’s Workwear Just In|13|0|0|0|0|13|Perfect fit!|It was like it was designed specifically for me! Goes with everything ! I love it.|2022-06-28|
Nora Gardner|https://noragardner.com/collections/new-collection/products/alanna-blazer-black|6771751237|alanna-blazer-black|Nora Gardner|$368|$368|Women’s Workwear Just In|13|0|0|0|0|13|A must have - perfect|A must have - perfect staple black blazer, travels well (no wrinkling) and goes with everything - add the Chelsea skirt or Audrey pants for a full suit.|2020-07-30|
