unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|Handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|Warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
|Almaya||||||||2025-06-19|Cerelac Baby Fruit Raspberry Pear Banana Oats Puree 90gm|||||||||||||6.95|||||||||||||||AED||https://www.almayaonline.com/cerelac-baby-fruit-raspberry-pear-banana-oats-puree-90gm||Cerelac Baby Fruit Raspberry Pear Banana Oats Puree 90Gm Cerelac Baby Fruit Raspberry Pear Banana Oats Puree 90Gmcerelac Baby Fruit Raspberry Pear Banana Oats Puree Is A Delicious And Nutritious Baby Food Option. This 90Gm Pack Contains A Blend Of Fruits And Oats To Provide Essential Nutrients While Introducing Your Baby To New Flavors. Cerelac Ensures That Your Baby'S First Foods Are Both Tasty And Healthy.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0013813_cerelac-baby-fruit-raspberry-pear-banana-oats-puree-90gm_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Cerelac Green And Milk Wheat 110gm|||||||||||||9.95|||||||||||||||AED||https://www.almayaonline.com/cerelac-green-and-milk-wheat-110gm||Cerelac Green And Milk Wheat 110Gm Cerelac Green And Milk Wheat Is A Nutritious Choice For Babies. This 110Gm Pack Contains Wheat Cereal With The Goodness Of Green Vegetables And Milk, Offering Essential Nutrients. It'S Specially Crafted To Provide A Well-Rounded Meal For Your Baby. Cerelac Ensures The Highest Quality Ingredients For Your Baby'S Nutrition. Enjoy A Wholesome Meal With Cerelac Green And Milk Wheat.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0012178_7613287173744_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Gerber Baby Food Organic Pumpkin Banana Carrot 90gm|||||||||||||11.99|||||||||||||||AED||https://www.almayaonline.com/gerber-baby-food-organic-pumpkin-banana-carrot-90gm||Gerber Baby Food Organic Pumpkin Banana Carrot 90Gm Gerber Baby Food Organic Pumpkin Banana Carrot Is A Nutritious Choice For Your Baby. This 90Gm Pack Contains A Delightful Blend Of Organic Pumpkin, Banana, And Carrot Puree, Offering Essential Vitamins And Minerals. It'S Suitable For Babies And Introduces Them To Exciting Vegetable Flavors. Gerber Ensures Top-Quality Organic Ingredients For Your Baby'S Nutrition. Enjoy A Wholesome Meal With Gerber Baby Food Organic Pumpkin Banana Carrot.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011208_7613036727471_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Gerber Nutri Puffs Organic Raspberry Banana 35gm|||||||||||||12.50|||||||||||||||AED||https://www.almayaonline.com/gerber-nutri-puffs-organic-raspberry-banana-35gm||Gerber Nutri Puffs Organic Raspberry Banana 35Gm Delight Your Baby With Gerber Nutri Puffs Organic Raspberry Banana Snacks. These 35Gm Puffs Are Specially Crafted For Tiny Hands And Discerning Palates. Made From Organic Ingredients, They Provide A Blend Of Fruity Flavors And A Satisfying Crunch. Perfect For Babies Starting Their Snack Journey, These Puffs Offer A Convenient And Healthy Snacking Option.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0017593_7613037059816_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Gerber Organic Baby Food Apple Puree 90gm (From 6 Months)|||||||||||||12.50|||||||||||||||AED||https://www.almayaonline.com/gerber-organic-baby-food-apple-puree-90gm-from-6-months||Gerber Organic Baby Food Apple Puree 90Gm (From 6 Months) Provide Your Baby With The Goodness Of Gerber Organic Apple Puree. Tailored For Babies From 6 Months Onwards, This 90Gm Jar Contains Pure Organic Apple Goodness. The Smooth And Creamy Texture Is Easy For Little Ones To Enjoy, Making It A Great Option For Introducing Fruit Into Their Diet. With Gerber, You'Re Giving Your Baby The Best Of Nature'S Flavors.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011206_7613036067072_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Gerber Organic Baby Food Mango Puree 90gm (From 6 Months)|||||||||||||11.75|||||||||||||||AED||https://www.almayaonline.com/gerber-organic-baby-food-mango-puree-90gm-from-6-months||Gerber Organic Baby Food Mango Puree 90Gm (From 6 Months) Introduce Your Baby To The Tropical Delight Of Gerber Organic Mango Puree. Designed For Babies From 6 Months And Up, This 90Gm Jar Is Bursting With The Natural Sweetness And Goodness Of Organic Mangoes. The Smooth Texture Ensures Easy Feeding, Making Mealtime A Delightful Experience For Both Parents And Babies. Trust Gerber For Quality And Flavor.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011204_7613036067010_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Hero Baby Apple Compote 4+ Months 125gm|||||||||||||7.95|||||||||||||||AED||https://www.almayaonline.com/hero-baby-apple-compote-4-months-125gm||Hero Baby Apple Compote 4+ Months 125Gm Hero Baby Apple Compote Is A Nutritious And Delicious Treat For Babies Aged 4 Months And Above. This 125Gm Jar Contains Smooth And Pureed Apples, Providing Essential Vitamins And Natural Sweetness. It'S An Ideal Choice For Introducing Fruit To Your Baby'S Diet, Promoting Healthy Growth And Development. Hero Baby Ensures Quality And Taste In Every Jar. Make Mealtime Enjoyable With Hero Baby Apple Compote.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011451_8690504550594_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Hero Baby Banana Cereals 4+ Months 125gm|||||||||||||7.95|||||||||||||||AED||https://www.almayaonline.com/hero-baby-banana-cereals-4-months-125gm||Hero Baby Banana Cereals 4+ Months 125Gm Hero Baby Banana Cereals Are Perfect For Babies Aged 4 Months And Above. This 125Gm Pack Contains Smooth And Nutritious Banana-Flavored Cereals. These Cereals Are A Great Choice For Introducing Solids To Your Baby'S Diet. They Are Fortified With Essential Vitamins And Minerals, Promoting Healthy Development. Hero Baby Ensures The Best Quality For Your Baby'S Nutrition.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011454_8690504550587_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Hero Baby Banana Mandarin Pear 6+ Months 130gm|||||||||||||7.99|||||||||||||||AED||https://www.almayaonline.com/hero-baby-banana-mandarin-pear-6-months-130gm||Hero Baby Banana Mandarin Pear 6+ Months 130Gm Hero Baby Banana Mandarin Pear Is A Delightful Choice For Babies Aged 6 Months And Above. This 130Gm Pack Combines The Natural Sweetness Of Bananas, Mandarins, And Pears Into A Smooth Puree. It'S A Nutritious Option For Introducing New Flavors To Your Baby'S Diet. Hero Baby Ensures The Highest Quality Ingredients For Your Baby'S Nutrition. Enjoy Mealtime With Hero Baby Banana Mandarin Pear.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011506_8690504550631_415.jpeg||||||||||||||||||||||||||||||||||||||||
|Almaya||||||||2025-06-19|Hero Baby Biscuits 180gm|||||||||||||19.95|||||||||||||||AED||https://www.almayaonline.com/hero-baby-biscuits-180gm||Hero Baby Biscuits 180Gm Hero Baby Biscuits Are A Tasty And Convenient Snack For Your Little One. This 180Gm Pack Contains Baby Biscuits That Are Specially Crafted For Babies. They Are Easy To Hold And Nibble On, Making Them Perfect For Little Hands. Hero Ensures Top-Quality Ingredients For Your Baby'S Nutrition. Enjoy Snack Time With Hero Baby Biscuits.|||||||||||||||||||||||||||||||||||||||||||https://almayaproduction.s3-eu-north-1.amazonaws.com/0011457_8410175057006_415.jpeg||||||||||||||||||||||||||||||||||||||||
